0;0
438;438
1000;1000
2064;2064
2113;2113
2217;2217
2278;2278
2281;2281
2285;2285
2412;2412
2440;2440
2492;2492
2505;2505
2506;2506
2507;2507
2508;2508
2509;2509
2510;2510
2511;2511
2512;2512
2513;2513
2514;2514
2515;2515
2516;2516
2517;2517
2518;2518
2519;2519
2520;2520
2521;2521
2522;2522
2523;2523
2524;2524
2525;2525
2526;2526
2527;2527
2530;2530
2531;2531
2532;2532
2533;2533
2534;2534
2535;2535
2536;2536
2537;2537
2538;2538
2539;2539
2540;2540
2541;2541
2542;2542
2543;2543
2544;2544
2545;2545
2546;2546
2547;2547
2548;2548
2549;2549
2550;2550
2551;2551
2552;2552
2553;2553
2554;2554
2555;2555
2556;2556
2557;2557
2562;2562
2564;2564
2565;2565
2566;2566
2567;2567
2569;2569
2571;2571
2573;2573
2577;2577
2578;2578
2579;2579
2580;2580
2583;2583
2584;2584
2585;2585
2587;2587
2588;2588
2589;2589
2590;2590
2591;2591
2592;2592
2593;2593
2595;2595
2596;2596
2598;2598
2599;2599
2600;2600
2601;2601
2602;2602
2604;2604
2605;2605
2606;2606
2607;2607
2608;2608
2609;2609
2610;2610
2611;2611
2612;2612
2615;2615
2616;2616
2619;2619
2620;2620
2621;2621
2622;2622
2623;2623
2624;2624
2626;2626
2627;2627
2628;2628
2629;2629
2631;2631
2632;2632
2633;2633
2634;2634
2635;2635
2636;2636
2637;2637
2638;2638
2639;2639
2640;2640
2641;2641
2642;2642
2644;2644
2648;2648
2650;2650
2651;2651
2652;2652
2653;2653
2654;2654
2656;2656
2657;2657
2658;2658
2659;2659
2660;2660
2661;2661
2662;2662
2663;2663
2664;2664
2665;2665
2666;2666
2667;2667
2668;2668
2669;2669
2670;2670
2672;2672
2673;2673
2674;2674
2675;2675
2676;2676
2677;2677
2678;2678
2679;2679
2681;2681
2682;2682
2683;2683
2684;2684
2685;2685
2686;2686
2687;2687
2689;2689
2691;2691
2696;2696
2697;2697
2698;2698
2699;2699
2700;2700
2701;2701
2702;2702
2703;2703
2704;2704
2705;2705
2706;2706
2707;2707
2708;2708
2709;2709
2710;2710
2711;2711
2712;2712
2713;2713
2714;2714
2715;2715
2716;2716
2717;2717
2718;2718
2720;2720
2722;2722
2723;2723
2724;2724
2726;2726
2727;2727
2728;2728
2729;2729
2730;2730
2732;2732
2733;2733
2734;2734
2735;2735
2736;2736
2737;2737
2738;2738
2739;2739
2740;2740
2741;2741
2742;2742
2743;2743
2744;2744
2745;2745
2746;2746
2747;2747
2748;2748
2749;2749
2750;2750
2751;2751
2752;2752
2753;2753
2754;2754
2755;2755
2756;2756
2758;2758
2759;2759
2760;2760
2762;2762
2764;2764
2765;2765
2766;2766
